Re_hot,U_bare,U_packed_lower,U_packed_nominal,U_packed_upper
1.000000e+02,1.296099e+02,2.038889e+02,2.053772e+02,2.059475e+02
1.105579e+02,1.386203e+02,2.181062e+02,2.197668e+02,2.204022e+02
1.222305e+02,1.482548e+02,2.333144e+02,2.351637e+02,2.358704e+02
1.351354e+02,1.585565e+02,2.495867e+02,2.516422e+02,2.524265e+02
1.494029e+02,1.695715e+02,2.670024e+02,2.692824e+02,2.701510e+02
1.651767e+02,1.813489e+02,2.856476e+02,2.881714e+02,2.891314e+02
1.826158e+02,1.939413e+02,3.056157e+02,3.084035e+02,3.094622e+02
2.018962e+02,2.074048e+02,3.270080e+02,3.300808e+02,3.312460e+02
2.232122e+02,2.217995e+02,3.499346e+02,3.533143e+02,3.545937e+02
2.467787e+02,2.371894e+02,3.745146e+02,3.782237e+02,3.796254e+02
2.728333e+02,2.536431e+02,4.008771e+02,4.049388e+02,4.064712e+02
3.016388e+02,2.712337e+02,4.291618e+02,4.335998e+02,4.352714e+02
3.334855e+02,2.900395e+02,4.595198e+02,4.643584e+02,4.661778e+02
3.686945e+02,3.101440e+02,4.921140e+02,4.973780e+02,4.993539e+02
4.076209e+02,3.316365e+02,5.271205e+02,5.328349e+02,5.349761e+02
4.506570e+02,3.546123e+02,5.647287e+02,5.709189e+02,5.732343e+02
4.982369e+02,3.791734e+02,6.051428e+02,6.118343e+02,6.143327e+02
5.508402e+02,4.054284e+02,6.485819e+02,6.558004e+02,6.584906e+02
6.089973e+02,4.334937e+02,6.952818e+02,7.030530e+02,7.059438e+02
6.732946e+02,4.634934e+02,7.454953e+02,7.538449e+02,7.569450e+02
7.443803e+02,4.955601e+02,7.994937e+02,8.084473e+02,8.117652e+02
8.229712e+02,5.298355e+02,8.575677e+02,8.671509e+02,8.706947e+02
9.098596e+02,5.664706e+02,9.200290e+02,9.302669e+02,9.340447e+02
1.005922e+03,6.056272e+02,9.872112e+02,9.981287e+02,1.002148e+03
1.112126e+03,6.474776e+02,1.059471e+03,1.071093e+03,1.075362e+03
1.229543e+03,6.922060e+02,1.137192e+03,1.149542e+03,1.154066e+03
1.359356e+03,7.400090e+02,1.220783e+03,1.233885e+03,1.238671e+03
1.502876e+03,7.910966e+02,1.310682e+03,1.324558e+03,1.329611e+03
1.661548e+03,8.456929e+02,1.407358e+03,1.422030e+03,1.427355e+03
1.836972e+03,9.040372e+02,1.511313e+03,1.526801e+03,1.532403e+03
2.030918e+03,9.663847e+02,1.623084e+03,1.639408e+03,1.645288e+03
2.245340e+03,1.033008e+03,1.743245e+03,1.760423e+03,1.766583e+03
2.482400e+03,1.104198e+03,1.872412e+03,1.890460e+03,1.896899e+03
2.744489e+03,1.180266e+03,2.011242e+03,2.030174e+03,2.036891e+03
3.034249e+03,1.261541e+03,2.160439e+03,2.180268e+03,2.187259e+03
3.354602e+03,1.348379e+03,2.320758e+03,2.341492e+03,2.348751e+03
3.708777e+03,1.441155e+03,2.493004e+03,2.514649e+03,2.522167e+03
4.100346e+03,1.540273e+03,2.678039e+03,2.700598e+03,2.708364e+03
4.533256e+03,1.646160e+03,2.876786e+03,2.900258e+03,2.908256e+03
5.011872e+03,1.759275e+03,3.090231e+03,3.114609e+03,3.122822e+03
